date,imoex,ofz5y,eps_fwd,coe,erp,pe
2025-07-04,2801.65,14.4897941276,625.0,0.22308282619170844,0.07818488491570844,4.48264
2025-07-07,2756.14,14.5469791682,625.0,0.22676641970291786,0.08129662802091786,4.4098239999999995
2025-07-08,2755.58,14.5309192482,625.0,0.22681250408262507,0.08150331160062507,4.4089279999999995
2025-07-09,2696.45,14.7243504403,625.0,0.23178623746036456,0.08454273305736457,4.3143199999999995
2025-07-10,2732.45,14.6249627335,625.0,0.2287324562206079,0.0824828288856079,4.371919999999999
2025-07-11,2642.02,14.6320269409,625.0,0.23656141891431556,0.09024114950531556,4.227232
2025-07-14,2714.14,14.5810237503,625.0,0.2302755200542345,0.08446528255123448,4.342624
2025-07-15,2756.95,14.3413709624,625.0,0.22669979506338528,0.08328608543938529,4.4111199999999995
2025-07-16,2777.16,14.2125236716,625.0,0.22505005113137164,0.08292481441537164,4.443455999999999
2025-07-17,2761.48,14.1751789446,625.0,0.226327911120124,0.08457612167412398,4.418368
2025-07-18,2784.63,14.0838781897,625.0,0.2244463357789006,0.08360755388190061,4.455408
2025-07-21,2821.78,14.0836483705,625.0,0.22149139904599224,0.08065491534099223,4.514848000000001
2025-07-22,2825.61,14.1095085284,625.0,0.22119117641854324,0.08009609113454325,4.520976
2025-07-23,2841.16,14.0786163763,625.0,0.2199805713159414,0.07919440755294141,4.545856
2025-07-24,2807.69,14.0432185662,625.0,0.2226029226873337,0.0821707370253337,4.492304
2025-07-25,2772.39,13.9667088645,625.0,0.22543725810582207,0.08577016946082208,4.435824
2025-07-28,2730.98,13.965389789,625.0,0.2288555756541608,0.0892016777641608,4.369568
2025-07-29,2758.28,13.8604081934,625.0,0.2265904839247647,0.08798640199076468,4.413248
2025-07-30,2726.24,13.8976233894,625.0,0.22925347731674395,0.09027724342274396,4.361984
2025-07-31,2732.12,13.8947279918,625.0,0.22876008374449147,0.08981280382649148,4.371392
2025-08-01,2727.98,13.9385349283,625.0,0.22910725151943928,0.08972190223643928,4.364768
2025-08-04,2773.85,13.9128777151,625.0,0.22531860050110858,0.08618982335010858,4.43816
2025-08-05,2786.37,13.8524174545,625.0,0.2243061761359762,0.08578200159097621,4.4581919999999995
2025-08-06,2764.62,13.9120768772,625.0,0.22607085241371327,0.08695008364171328,4.423392
2025-08-07,2876.43,13.6577601984,625.0,0.2172832295588629,0.08070562757486288,4.602288
2025-08-08,2924.63,13.527521315,625.0,0.21370224609608737,0.07842703294608738,4.6794080000000005
2025-08-11,2964.15,13.4799907845,625.0,0.21085302700605568,0.07605311916105567,4.74264
2025-08-12,2977.18,13.44269965,625.0,0.20993020240630397,0.07550320590630397,4.763488
2025-08-13,2973.02,13.5261004555,625.0,0.21022394736665076,0.07496294281165075,4.756832
2025-08-14,2977.34,13.5073226183,625.0,0.2099189209159854,0.07484569473298541,4.763744
2025-08-15,3012.09,13.3051334478,625.0,0.20749711993997522,0.07444578546197522,4.819344
2025-08-18,2951.26,13.3765029403,625.0,0.21177395417550468,0.07800892477250468,4.722016
2025-08-19,2965.66,13.2900530055,625.0,0.21074566875501577,0.07784513870001575,4.745056
2025-08-20,2940.78,13.4871526319,625.0,0.21252864886186656,0.07765712254286655,4.705248
2025-08-21,2883.5,13.6459627288,625.0,0.21675047685104906,0.08029084956304905,4.6136
2025-08-22,2896.76,13.5877133561,625.0,0.2157582954749444,0.0798811619139444,4.634816000000001
2025-08-25,2887.24,13.6635583253,625.0,0.21646970809492805,0.07983412484192803,4.619584
2025-08-26,2885.87,13.7778728163,625.0,0.2165724720794769,0.07879374391647692,4.617392
2025-08-27,2911.48,13.7427854698,625.0,0.2146674543531125,0.07723959965511248,4.658368
2025-08-28,2912.72,13.7926588791,625.0,0.21457606635721937,0.07664947756621937,4.660352
2025-08-29,2899.38,13.8794113775,625.0,0.2155633273320503,0.0767692135570503,4.6390080000000005
2025-09-01,2886.97,13.8413416934,625.0,0.21648995313425495,0.07807653620025495,4.619152
2025-09-02,2845.39,13.8906271637,625.0,0.21965354485676833,0.08074727321976832,4.552624
2025-09-03,2867.55,13.72124537,625.0,0.21795609492423845,0.08074364122423844,4.588080000000001
2025-09-04,2873.7,13.5733416153,625.0,0.21748964749277935,0.08175623133977936,4.597919999999999
2025-09-05,2901.45,13.5756438673,625.0,0.21540953661100484,0.07965309793800485,4.64232
2025-09-08,2921.62,13.4943068982,625.0,0.21392241290790726,0.07897934392590725,4.674592
2025-09-09,2935.96,13.6162823704,625.0,0.21287755963977711,0.0767147359357771,4.697536
2025-09-10,2914.26,13.6507429805,625.0,0.21446267663146046,0.07795524682646046,4.662816
2025-09-11,2908.14,13.7306925676,625.0,0.21491400001375452,0.07760707433775452,4.653023999999999
2025-09-12,2839.73,13.9376499725,625.0,0.22009134671253958,0.08071484698753958,4.543568
2025-09-15,2809.85,13.9985374775,625.0,0.2224318024093813,0.08244642763438129,4.49576
2025-09-16,2802.77,14.0652518705,625.0,0.22299368125104807,0.08234116254604809,4.484432
2025-09-17,2814.04,14.0141860764,625.0,0.22210060979943427,0.08195874903543426,4.502464
2025-09-18,2793.58,14.1125143157,625.0,0.2237272603612569,0.08260211720425689,4.469728
2025-09-19,2748.06,14.3342283496,625.0,0.22743317103702249,0.08409088754102248,4.396896
2025-09-22,2741.06,14.3176115096,625.0,0.22801397999314135,0.08483786489714135,4.385696
2025-09-23,2758.65,14.3354649807,625.0,0.226560092799014,0.08320544299201402,4.41384
2025-09-24,2723.58,14.4763073369,625.0,0.22947737903788396,0.08471430566888397,4.357728
2025-09-25,2708.68,14.5633498351,625.0,0.2307396960881315,0.08510619773713149,4.333888
2025-09-26,2725.97,14.5752852057,625.0,0.22927618425734694,0.08352333220034694,4.361552
2025-09-29,2684.09,14.7566826078,625.0,0.23285359283779603,0.08528676675979602,4.294544
2025-09-30,2684.6,14.8046800614,625.0,0.2328093570736795,0.0847625564596795,4.29536
2025-10-01,2647.25,14.8309107753,610.0,0.2304278024364907,0.0821186946834907,4.339754098360656
2025-10-02,2632.07,14.9352664128,610.0,0.2317567541896682,0.08240409006166821,4.314868852459017
2025-10-03,2604.55,14.8977333196,610.0,0.23420552494672783,0.08522819175072782,4.269754098360656
2025-10-06,2648.5,14.9162420539,610.0,0.23031904851802906,0.08115662797902906,4.341803278688524
2025-10-07,2668.6,14.9166945346,610.0,0.2285842763996103,0.07941733105361029,4.374754098360656
2025-10-08,2562.51,15.1187195828,610.0,0.23804785152057942,0.08686065569257942,4.200836065573771
2025-10-09,2638.37,15.0220808117,610.0,0.23120335661791183,0.08098254850091183,4.3251967213114755
2025-10-10,2588.56,15.1059694552,610.0,0.2356522545353401,0.08459255998334012,4.243540983606557
